User_ID,Calories
14733363,266.805
14861698,76.23
11179863,30.03
16180408,82.005
17771927,40.425
15130815,142.065
19602372,129.36
11117088,165.165
12132339,154.77
17964668,83.16
13723164,3.465
13681290,106.26
15566424,66.99
12891699,101.64
13823829,8.085
17557348,196.35
12198133,12.705
15236104,49.665
11042324,17.325
16864285,85.47
11674347,33.495
19797300,36.96
14711095,11.55
14434854,179.025
14893804,3.465
17231597,27.72
10901446,13.86
15874362,11.55
15569252,225.225
15615743,5.775
13363046,79.695
17572853,157.08
17157339,92.4
18328111,123.585
19303479,231
10699201,64.68
15283313,57.75
16324247,115.5
14277710,231
10888188,4.62
13379795,80.85
17181524,146.685
15988442,227.535
19538533,130.515
14591877,12.705
14274480,94.71
16818429,30.03
17476522,162.855
16369885,106.26
17816292,5.775
15995398,34.65
17615432,3.465
10146087,42.735
17967445,169.785
19670291,9.24
10580576,183.645
15854213,107.415
11138472,199.815
18276801,102.795
13823902,35.805
19222133,40.425
13231909,108.57
12726617,56.595
12538968,62.37
10941668,135.135
12628985,199.815
17691320,114.345
17822027,51.975
13777657,191.73
19423359,233.31
14701930,123.585
11513205,229.845
11842710,28.875
12576313,26.565
12367125,231
16913504,6.93
19439155,8.085
16137644,130.515
11622081,217.14
17374074,118.965
19096890,147.84
19628507,150.15
16918679,31.185
11194130,213.675
18863486,65.835
11754581,75.075
15161631,105.105
18735761,138.6
15878611,80.85
19249559,45.045
15469030,157.08
11157560,88.935
19576971,48.51
15048071,47.355
18707469,68.145
12598637,206.745
14342169,6.93
19208771,15.015
11790318,169.785
11756583,207.9
16417986,116.655
13065142,173.25
10481882,206.745
19521409,26.565
15862346,11.55
12234447,45.045
14624633,285.285
17074274,102.795
17636190,162.855
14345479,20.79
11772472,80.85
19087162,213.675
15875055,62.37
10939512,239.085
13616455,218.295
19118405,6.93
10503799,69.3
16572590,26.565
17336010,214.83
15483091,205.59
10006441,140.91
13075455,191.73
17564519,182.49
18789619,8.085
15444304,165.165
13122354,49.665
10692173,99.33
12890276,147.84
14339451,210.21
16626118,60.06
17268858,272.58
13816658,131.67
14191617,73.92
13672975,197.505
16361679,21.945
17739883,166.32
19341462,42.735
14117537,213.675
12667831,69.3
10661999,146.685
10366046,172.095
11523134,90.09
12275702,27.72
11190411,165.165
19686449,165.165
15565644,82.005
10154011,66.99
12676049,82.005
10228092,23.1
18997284,90.09
10836250,107.415
15883541,19.635
16990389,13.86
17046329,132.825
14136420,137.445
13138092,194.04
16655537,50.82
16245184,221.76
19157340,110.88
19810083,155.925
19821989,62.37
17219988,276.045
19572798,79.695
18360844,53.13
13918575,132.825
15319150,19.635
16112624,219.45
11099585,55.44
17300463,205.59
17118372,23.1
14435543,73.92
10908558,109.725
14181557,226.38
17152651,10.395
10192977,121.275
19584135,66.99
19445771,128.205
11294536,124.74
12845462,27.72
10578158,77.385
19789364,71.61
12301038,198.66
18976127,27.72
11460469,97.02
15238405,152.46
18559105,192.885
12761860,116.655
12777201,130.515
11084582,97.02
11393152,32.34
12327773,181.335
12038545,73.92
17593004,153.615
11708341,167.475
10753818,200.97
10608177,39.27
11267944,222.915
19795364,169.785
14290814,153.615
19222644,185.955
12847212,20.79
11986136,98.175
11830053,103.95
14737350,203.28
15294669,58.905
17146724,27.72
17490159,25.41
15501381,244.86
16736138,232.155
18493316,95.865
17497515,100.485
14364172,162.855
14217831,154.77
10483147,5.775
18046507,232.155
12414011,10.395
10710546,23.1
16175343,255.255
12020646,129.36
